"id","event_Name","performer","event_id","stagesN","description","tpltype"
"2553","アンジュルム コンサート2020 〜起承転結〜 船木結卒業スペシャル","アンジュルム","SPAG027","1",,"0"
"2554","アンジュルム コンサート2021「桃源郷 〜笠原桃奈 卒業スペシャル〜」","アンジュルム","SPAG028","1",,"0"
"2555","Hello! Project 2022 Spring CITY CIRCUIT アンジュルム CONCERT TOUR 〜The ANGERME〜","アンジュルム","SPAG029","18",,"0"
"2556","スマイレージ 1st ライブツアー 2010 秋 〜デビルスマイル エンジェルスマイル〜","スマイレージ","SPSM001","7",,"0"
"2557","スマイレージ 2011 春 Limited Live ""S/mile Factory""","スマイレージ","SPSM002","2",,"0"
"2558","スマイレージ コンサートツアー2011秋 〜逆襲の超ミニスカート〜","スマイレージ","SPSM003","8",,"0"
"2559","スマイレージ ライブハウスツアー2011秋 〜逆襲の超ミニスカート・ミニ〜","スマイレージ","SPSM004","12",,"0"
"2560","スマイレージ ベストアルバム完全版①発売記念スペシャルコンサート","スマイレージ","SPSM005","2",,"0"
"2561","スマイレージ ライブツアー2012秋 〜ちょいカワ番長〜","スマイレージ","SPSM006","18",,"0"
"2562","スマイレージ ライブツアー2013秋 〜スマイルチャージ〜","スマイレージ","SPSM007","7",,"0"
"2563","スマイレージ ライブツアー2014春 〜スマイルチャージ〜","スマイレージ","SPSM008","28",,"0"
"2564","スマイレージ LIVE 2014夏 FULL CHARGE〜715(なぁいこう) 日本武道館〜","スマイレージ  / ゲスト：モーニング娘。'14 / Berryz工房 /℃-ute / Juice=Juice  / ハロプロ研修生","SPSM009","1",,"0"
